AccessionNo,NameinCTRATE
train_1,train_17051_a
train_2,not in CT-RATE
train_3,not in CT-RATE
train_4,train_10602_a
train_5,not in CT-RATE
train_6,train_9102_a
train_7,not in CT-RATE
train_8,not in CT-RATE
train_9,not in CT-RATE
train_10,not in CT-RATE
train_11,train_17163_a
train_12,not in CT-RATE
train_13,train_14333_a
train_14,train_5297_a
train_15,not in CT-RATE
train_16,train_19934_a
train_17,not in CT-RATE
train_18,not in CT-RATE
train_19,train_7237_a
train_20,train_4354_a
train_21,not in CT-RATE
train_22,train_14429_a
train_23,not in CT-RATE
train_24,train_17087_a
train_25,train_6335_a
train_26,train_2158_d
train_27,train_15576_a
train_28,train_13751_a
train_29,train_17278_a
train_30,train_19320_a
train_31,not in CT-RATE
train_32,valid_1049_a
train_33,train_3450_a
train_34,not in CT-RATE
train_35,train_19152_b
train_36,train_16603_a
train_37,train_5156_a
train_38,train_5206_f
train_39,not in CT-RATE
train_40,train_3712_b
train_41,train_13417_b
train_42,not in CT-RATE
train_43,train_19683_a
train_44,train_2306_a
train_45,not in CT-RATE
train_46,train_8198_b
train_47,train_19818_a
train_48,train_19631_a
train_49,train_3961_a
train_50,train_16347_a
train_51,train_14202_a
train_52,train_11446_a
train_53,not in CT-RATE
train_54,train_18766_a
train_55,train_6351_a
train_56,train_12476_b
train_57,not in CT-RATE
train_58,train_767_a
train_59,train_17470_a
train_60,train_18336_a
train_61,not in CT-RATE
train_62,not in CT-RATE
train_63,train_18224_d
train_64,not in CT-RATE
train_65,train_16061_a
train_66,not in CT-RATE
train_67,train_1288_a
train_68,not in CT-RATE
train_69,train_618_a
train_70,train_8090_a
train_71,not in CT-RATE
train_72,train_12445_a
train_73,train_11135_a
train_74,train_1285_a
train_75,train_14898_a
train_76,train_4549_a
train_77,not in CT-RATE
train_78,train_9898_a
train_79,not in CT-RATE
train_80,train_5079_a
train_81,train_6931_a
train_82,train_2055_a
train_83,not in CT-RATE
train_84,not in CT-RATE
train_85,not in CT-RATE
train_86,not in CT-RATE
train_87,train_16118_a
train_88,train_10160_a
train_89,not in CT-RATE
train_90,not in CT-RATE
train_91,train_17854_a
train_92,not in CT-RATE
train_93,train_9965_a
train_94,train_4406_a
train_95,train_9665_a
train_96,train_6871_a
train_97,valid_128_a
train_98,train_9089_a
train_99,valid_249_a
train_100,not in CT-RATE
train_101,train_8935_a
train_102,not in CT-RATE
train_103,train_11009_a
train_104,train_9171_a
train_105,train_17308_a
train_106,not in CT-RATE
train_107,train_17851_a
train_108,train_13778_a
train_109,train_6401_a
train_110,train_1448_e
train_111,not in CT-RATE
train_112,train_2111_a
train_113,train_10059_a
train_114,valid_507_a
train_115,train_6119_a
train_116,train_17663_a
train_117,not in CT-RATE
train_118,train_16052_a
train_119,train_7395_a
train_120,not in CT-RATE
train_121,not in CT-RATE
train_122,not in CT-RATE
train_123,train_4641_a
train_124,train_12299_a
train_125,not in CT-RATE
train_126,train_6618_d
train_127,not in CT-RATE
train_128,train_6708_a
train_129,not in CT-RATE
train_130,not in CT-RATE
train_131,train_976_a
train_132,train_5289_a
train_133,valid_906_b
train_134,train_19038_b
train_135,valid_852_a
train_136,train_8815_a
train_137,train_5193_d
train_138,train_11136_a
train_139,train_15885_a
train_140,train_15038_a
train_141,train_5230_a
train_142,not in CT-RATE
train_143,train_16382_b
train_144,valid_1118_a
train_145,train_2248_a
train_146,train_1708_a
train_147,train_15717_a
train_148,train_1509_a
train_149,train_13908_a
train_150,not in CT-RATE
train_151,not in CT-RATE
train_152,not in CT-RATE
train_153,train_15808_a
train_154,train_5442_a
train_155,train_14367_c
train_156,not in CT-RATE
train_157,train_19168_a
train_158,train_3776_a
train_159,not in CT-RATE
train_160,not in CT-RATE
train_161,train_14319_a
train_162,train_44_a
train_163,train_13035_a
train_164,train_6363_a
train_165,not in CT-RATE
train_166,train_3112_d
train_167,not in CT-RATE
train_168,not in CT-RATE
train_169,train_12120_a
train_170,train_10698_a
train_171,train_16319_a
train_172,train_4586_a
train_173,not in CT-RATE
train_174,train_17380_a
train_175,train_17294_b
train_176,train_18321_a
train_177,valid_471_a
train_178,train_11189_a
train_179,train_7016_a
train_180,not in CT-RATE
train_181,train_18062_b
train_182,not in CT-RATE
train_183,not in CT-RATE
train_184,not in CT-RATE
train_185,not in CT-RATE
train_186,not in CT-RATE
train_187,not in CT-RATE
train_188,train_12346_a
train_189,train_13704_a
train_190,train_4995_a
train_191,train_16835_a
train_192,train_18263_a
train_193,train_4011_a
train_194,train_3669_a
train_195,train_8532_a
train_196,train_10242_a
train_197,train_10125_a
train_198,not in CT-RATE
train_199,train_662_a
train_200,train_8635_a
train_201,not in CT-RATE
train_202,train_10731_a
train_203,train_4821_a
train_204,train_8775_a
train_205,not in CT-RATE
train_206,not in CT-RATE
train_207,train_9194_a
train_208,not in CT-RATE
train_209,train_7845_a
train_210,train_5804_a
train_211,train_3826_a
train_212,train_15132_a
train_213,valid_123_a
train_214,train_17376_a
train_215,not in CT-RATE
train_216,not in CT-RATE
train_217,train_13307_a
train_218,train_2969_a
train_219,train_8543_a
train_220,train_15507_a
train_221,not in CT-RATE
train_222,valid_1022_a
train_223,train_17881_a
train_224,train_16164_a
train_225,train_6937_a
train_226,not in CT-RATE
train_227,train_6272_a
train_228,valid_124_a
train_229,not in CT-RATE
train_230,train_16893_a
train_231,train_3435_a
train_232,train_14738_a
train_233,train_12637_a
train_234,train_13964_a
train_235,train_15334_a
train_236,train_1300_a
train_237,train_16331_a
train_238,train_11738_a
train_239,train_1742_e
train_240,not in CT-RATE
train_241,train_5132_a
train_242,train_1386_a
train_243,train_19553_b
train_244,not in CT-RATE
train_245,train_5657_a
train_246,not in CT-RATE
train_247,train_19157_c
train_248,train_10411_a
train_249,train_3749_a
train_250,not in CT-RATE
train_251,train_6663_a
train_252,train_2706_a
train_253,not in CT-RATE
train_254,train_2995_a
train_255,train_7620_a
train_256,train_4405_a
train_257,train_9076_a
train_258,train_17063_a
train_259,train_7827_a
train_260,not in CT-RATE
train_261,train_5646_a
train_262,valid_211_a
train_263,train_18512_a
train_264,train_8405_a
train_265,train_15658_b
